Results	Entity	Line	Column	CheckID	Check Name
Number of Results: 18394					
  etc					
    testcases					
      core					
        containersrc					
          test					
            SpecialSeq.java					
              Violation: SpecialSeq.addFileset defined but not called.	SpecialSeq.addFileset	60	16	JAVA_04	Unused Methods
              Violation: SpecialSeq.addNested defined but not called.	SpecialSeq.addNested	64	16	JAVA_04	Unused Methods
              Comment/Code Ratio too low (0%)	SpecialSeq.addFileset	60		METRIC_02	Program Unit Comment to Code Ratio
              Comment/Code Ratio too low (0%)	SpecialSeq.addNested	64		METRIC_02	Program Unit Comment to Code Ratio
      taskdefs					
        apt					
          Distributed.java					
            Unused Instance Variable	DistributionTypes.SINGLETON	36	36	JAVA_02	Unused Instance Variables.
            Unused Instance Variable	DistributionTypes.FAULT_TOLERANT	36	54	JAVA_02	Unused Instance Variables.
            Unused Instance Variable	DistributionTypes.MOBILE	36	81	JAVA_02	Unused Instance Variables.
            Violation: DistributionTypes.values defined but not called.	DistributionTypes.values	36	16	JAVA_04	Unused Methods
            Violation: DistributionTypes.valueOf defined but not called.	DistributionTypes.valueOf	36	16	JAVA_04	Unused Methods
            Comment/Code Ratio too low (0%)	Distributed.distribution	32		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (0%)	Distributed.protocol	34		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (0%)	DistributionTypes.values	36		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (0%)	DistributionTypes.valueOf	36		METRIC_02	Program Unit Comment to Code Ratio
          DistributedAnnotationFactory.java					
            Violation: DistributedAnnotationFactory.supportedOptions defined but not called.	DistributedAnnotationFactory.supportedOptions	37	30	JAVA_04	Unused Methods
            Violation: DistributedAnnotationFactory.supportedAnnotationTypes defined but not called.	DistributedAnnotationFactory.supportedAnnotationTypes	41	30	JAVA_04	Unused Methods
            Comment/Code Ratio too low (0%)	DistributedAnnotationFactory.supportedOptions	37		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (0%)	DistributedAnnotationFactory.supportedAnnotationTypes	41		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (0%)	DistributedAnnotationFactory.getProcessorFor	45		METRIC_02	Program Unit Comment to Code Ratio
          DistributedAnnotationProcessor.java					
            No exit point in method	DistributedAnnotationProcessor.DistributedAnnotationProcessor	37	11	JAVA_03	Single exit point at end
            Violation: DistributedAnnotationProcessor.process defined but not called.	DistributedAnnotationProcessor.process	45	16	JAVA_04	Unused Methods
            Violation: ClassVisitor.visitClassDeclaration defined but not called.	ClassVisitor.visitClassDeclaration	61	20	JAVA_04	Unused Methods
            Comment/Code Ratio too low (0%)	DistributedAnnotationProcessor.DistributedAnnotationProcessor	37		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (0%)	DistributedAnnotationProcessor.echo	41		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (9%)	DistributedAnnotationProcessor.process	45		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (0%)	ClassVisitor.visitClassDeclaration	61		METRIC_02	Program Unit Comment to Code Ratio
        fixcrlf					
          expected					
            Junk1.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk2.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk3.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk4.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk5.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk6.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk7.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk8.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
              Violation: Control Code "0x1A (SUB) Substitute" found		13	1	AC_00	No Control Code Characters
            Junk9.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
          input					
            Junk1.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk2.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk3.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk4.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk5.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk6.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk7.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk8.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
            Junk9.java					
              Unused Local Variable	mychar	8	27	JAVA_05	Unused Local Variables.
              Violation: Control Code "0x1A (SUB) Substitute" found		13	1	AC_00	No Control Code Characters
        javadoc					
          java					
            ClassToJavadoc.java					
              Violation: ClassToJavadoc.methodToJavadoc defined but not called.	ClassToJavadoc.methodToJavadoc	28	16	JAVA_04	Unused Methods
              Violation: ClassToJavadoc.toString defined but not called.	ClassToJavadoc.toString	33	18	JAVA_04	Unused Methods
              Violation: ClassToJavadoc.anotherString defined but not called.	ClassToJavadoc.anotherString	38	18	JAVA_04	Unused Methods
        manifestclasspath					
          Alpha.java					
            Comment/Code Ratio too low (0%)	Alpha.toString	18		METRIC_02	Program Unit Comment to Code Ratio
          Beta.java					
            Comment/Code Ratio too low (0%)	Beta.toString	18		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (0%)	Beta.main	21		METRIC_02	Program Unit Comment to Code Ratio
        optional					
          depend					
            src1					
              A.java					
                Unused Instance Variable	A.d	18	14	JAVA_02	Unused Instance Variables.
              E.java					
                No exit point in method	E.E	18	4	JAVA_03	Single exit point at end
                Comment/Code Ratio too low (0%)	E.E	18		METRIC_02	Program Unit Comment to Code Ratio
            src4					
              test					
                ContainsOnlyInner.java					
                  Violation: ContainsOnlyInner.method1 defined but not called.	ContainsOnlyInner.method1	20	9	JAVA_04	Unused Methods
                  Comment/Code Ratio too low (0%)	ContainsOnlyInner.method1	20		METRIC_02	Program Unit Comment to Code Ratio
                MethodParam.java					
                  Violation: MethodParam.method1 defined but not called.	MethodParam.method1	20	9	JAVA_04	Unused Methods
                  Comment/Code Ratio too low (0%)	MethodParam.method1	20		METRIC_02	Program Unit Comment to Code Ratio
            src5					
              A.java					
                Unused Instance Variable	A.dependency	18	13	JAVA_02	Unused Instance Variables.
          javah					
            input					
              org					
                example					
                  Foo.java					
                    No exit point in method	Foo.Foo	22	11	JAVA_03	Single exit point at end
                    No exit point in method	Foo.bar	24	25	JAVA_03	Single exit point at end
                    Violation: Foo.bar defined but not called.	Foo.bar	24	25	JAVA_04	Unused Methods
                    Comment/Code Ratio too low (0%)	Foo.Foo	22		METRIC_02	Program Unit Comment to Code Ratio
                    Comment/Code Ratio too low (0%)	Foo.bar	24		METRIC_02	Program Unit Comment to Code Ratio
        rmic					
          src					
            RemoteTimestamp.java					
              Violation: RemoteTimestamp.when defined but not called.	RemoteTimestamp.when	24	9	JAVA_04	Unused Methods
              Comment/Code Ratio too low (0%)	RemoteTimestamp.when	24		METRIC_02	Program Unit Comment to Code Ratio
            RemoteTimestampImpl.java					
              Comment/Code Ratio too low (0%)	RemoteTimestampImpl.when	25		METRIC_02	Program Unit Comment to Code Ratio
      types					
        assertions					
          AssertionMain.java					
            Comment/Code Ratio too low (0%)	AssertionMain.main	26		METRIC_02	Program Unit Comment to Code Ratio
          AssertionTest.java					
            Fixed Value(2) used incorrectly	AssertionTest.testAssertNotRaised	41	23	JAVA_01	Magic Numbers - Java
            No exit point in method	AssertionTest.AssertionTest	26	15	JAVA_03	Single exit point at end
            Violation: AssertionTest.testAssertRaised defined but not called.	AssertionTest.testAssertRaised	30	20	JAVA_04	Unused Methods
            Violation: AssertionTest.testAssertNotRaised defined but not called.	AssertionTest.testAssertNotRaised	40	20	JAVA_04	Unused Methods
            Comment/Code Ratio too low (0%)	AssertionTest.AssertionTest	26		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (14%)	AssertionTest.testAssertRaised	30		METRIC_02	Program Unit Comment to Code Ratio
            Comment/Code Ratio too low (0%)	AssertionTest.testAssertNotRaised	40		METRIC_02	Program Unit Comment to Code Ratio
  main					
    org					
      apache					
        tools					
          ant					
            dispatch					
              DispatchUtils.java					
                Fixed Value(0) used incorrectly	length	56	63	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	length	58	44	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	Class	62	76	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	67	69	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	Class	71	62	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	Class	101	75	JAVA_01	Magic Numbers - Java
                Calling too many functions (13)	DispatchUtils.execute	37	29	METRIC_00	Program Unit Call Count
                Comment/Code Ratio too low (11%)	DispatchUtils.execute	37		METRIC_02	Program Unit Comment to Code Ratio
                Complexity(19) greater than allowed(5)	DispatchUtils.execute	37	29	METRIC_03	Program Unit Cyclomatic Complexity
