From Class,To Class,References,From Entities,To Entities
A,B,1,1,1
A,D,2,2,1
A,APrivate,2,2,1
A.Inner,B,1,1,1
A.Inner.Inner2,B,1,1,1
AntTimestamp,org.apache.tools.ant.util.DateUtils,1,1,1
AntTimestamp,RemoteTimestamp,1,1,1
APrivate,B,1,1,1
B,C,1,1,1
Beta,Alpha,2,2,2
Distributed,Distributed.DistributionTypes,2,1,2
DistributedAnnotationFactory,DistributedAnnotationProcessor,2,1,2
DistributedAnnotationProcessor,DistributedAnnotationProcessor.ClassVisitor,1,1,1
DistributedAnnotationProcessor.ClassVisitor,DistributedAnnotationProcessor,1,1,1
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.AntClassLoader.ResourceEnumeration,2,1,2
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.BuildEvent,10,10,2
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.BuildException,4,3,1
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.launch.Locator,1,1,1
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.Project,32,22,9
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.SubBuildListener,1,1,1
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.types.Path,9,8,3
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.util.CollectionUtils,3,1,1
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.util.CollectionUtils.EmptyEnumeration,1,1,1
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.util.FileUtils,9,7,5
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.util.JavaEnvUtils,3,2,3
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.util.LoaderUtils,5,2,3
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.util.ReflectUtil,1,1,1
org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.util.VectorSet,2,1,2
org.apache.tools.ant.AntClassLoader.ResourceEnumeration,org.apache.tools.ant.AntClassLoader,3,1,2
org.apache.tools.ant.AntClassLoader.ResourceEnumeration,org.apache.tools.ant.BuildException,1,1,1
org.apache.tools.ant.AntClassLoaderDelegationTest,org.apache.tools.ant.AntClassLoader,8,3,3
org.apache.tools.ant.AntClassLoaderDelegationTest,org.apache.tools.ant.AntClassLoaderDelegationTest.ParentLoader,4,2,2
org.apache.tools.ant.AntClassLoaderDelegationTest,org.apache.tools.ant.Project,4,2,3
org.apache.tools.ant.AntClassLoaderDelegationTest,org.apache.tools.ant.types.Path,6,4,2
org.apache.tools.ant.AntClassLoaderDelegationTest,org.apache.tools.ant.util.FileUtils,4,4,3
