Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutCommand.java",1,1,1,1,16,0,11,4,,,,2,0,2,4,,4,4,1,4,,1,0,0,3,,126,12,75,42,36,39,,,,55,62,40,22,,,,,,2,2,2,1,,,1,,,0.52,6,6,6,4
File,"AbstractAction.java",2,2,2,1,10,0,7,4,,,,1,0,1,2,,3,3,0,3,,0,0,1,2,,62,8,28,15,9,28,,,,12,17,13,4,,,,,,3,3,3,1,,,2,,,1.00,4,4,4,2
File,"AbstractAction.java",2,2,2,1,9,0,6,3,,,,1,0,1,2,,3,3,0,3,,0,0,1,2,,64,8,27,16,7,29,,,,13,18,14,4,,,,,,3,3,3,1,,,2,,,1.07,4,4,4,2
File,"AbstractAssertionGui.java",1,1,1,1,12,0,3,9,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,54,7,12,9,2,35,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,2.92,1,1,1,1
File,"AbstractChart.java",1,1,1,1,7,0,4,2,,,,1,0,14,21,,22,22,1,22,,0,0,0,22,,243,29,125,50,67,89,,,,61,95,49,46,,,,,,10,10,10,10,,,1,,,0.71,33,33,33,30
File,"AbstractConfigGui.java",1,1,1,1,13,0,3,10,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,66,7,17,12,3,42,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,2.47,2,2,2,2
File,"AbstractControllerGui.java",1,1,1,1,13,0,3,10,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,65,7,17,12,3,41,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,2.41,2,2,2,2
File,"AbstractFunction.java",1,1,2,1,15,0,9,6,,,,1,0,0,5,,8,8,0,8,,0,0,4,4,,147,12,63,29,28,72,,,,22,31,23,8,,,,,,3,3,4,1,,,1,,,1.14,9,9,10,5
File,"AbstractHostIPName.java",1,1,1,1,8,1,5,2,,,,1,0,1,4,,5,5,1,5,,0,0,1,4,,84,16,43,25,13,28,,,,21,29,20,9,,,,,,4,4,4,1,,,3,,,0.65,7,7,7,4
File,"AbstractJDBCProcessor.java",5,5,5,1,21,0,18,3,,,,1,0,2,1,,1,1,0,1,,0,0,1,0,,62,8,31,14,16,23,,,,19,23,14,9,,,,,,5,5,5,1,,,1,,,0.74,5,5,5,1
File,"AbstractJDBCTestElement.java",2,2,2,1,13,0,10,2,,,,1,6,20,33,,33,27,8,33,,0,9,2,22,,608,63,435,148,280,142,,,,244,340,150,190,,,,,,17,17,18,10,,,4,,,0.33,90,90,95,42
File,"AbstractJMeterGuiComponent.java",1,1,1,1,11,0,4,6,,,,1,0,2,21,,21,21,3,21,,0,2,7,12,,342,32,136,63,58,176,,,,76,101,54,47,,,,,,2,2,2,1,,,1,,,1.29,24,24,24,21
File,"AbstractJavaSamplerClient.java",1,1,1,1,4,0,3,1,,,,1,0,1,4,,4,4,0,4,,0,0,1,3,,85,8,22,13,5,55,,,,9,14,10,4,,,,,,1,1,1,1,,,0,,,2.50,4,4,4,4
File,"AbstractListenerElement.java",1,1,1,1,4,0,4,0,,,,1,0,1,4,,4,4,1,4,,0,0,1,3,,57,11,25,13,8,22,,,,12,18,12,6,,,,,,2,2,2,1,,,1,,,0.88,5,5,5,4
File,"AbstractListenerGui.java",1,1,1,1,13,0,3,10,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,66,9,17,12,3,40,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,2.35,2,2,2,2
File,"AbstractParserControl.java",1,1,1,1,11,0,3,8,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,42,2,7,4,1,33,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,4.71,1,1,1,1
File,"AbstractPostProcessorGui.java",1,1,1,1,3,0,3,0,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,45,7,12,9,2,26,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,2.17,1,1,1,1
File,"AbstractPreProcessorGui.java",1,1,1,1,3,0,3,0,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,43,9,17,12,3,17,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,1.00,2,2,2,2
File,"AbstractProperty.java",2,2,2,2,12,0,9,3,,,,1,3,2,27,,27,24,2,27,,0,0,9,18,,416,36,279,80,161,109,,,,113,185,63,122,,,,,,9,9,9,9,,,4,,,0.39,71,71,71,58
File,"AbstractRandomTimerGui.java",1,1,1,1,13,1,7,5,,,,1,1,3,7,,13,12,2,13,,0,1,5,7,,195,32,86,42,43,80,,,,63,71,37,34,,,,,,1,1,1,1,,,0,,,0.93,7,7,7,7
File,"AbstractReportGui.java",1,1,1,1,7,0,5,1,,,,1,0,1,7,,7,7,0,7,,0,0,2,5,,117,11,64,36,25,42,,,,41,49,30,19,,,,,,1,1,1,1,,,0,,,0.66,7,7,7,7
File,"AbstractReportWriter.java",1,1,2,1,8,0,5,3,,,,1,0,2,6,,7,7,0,7,,0,0,0,7,,102,11,46,24,19,45,,,,20,31,21,10,,,,,,3,3,4,1,,,2,,,0.98,10,10,12,6
File,"AbstractSampleSender.java",1,1,1,1,5,0,2,2,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,52,8,14,8,3,31,,,,5,9,7,2,,,,,,1,1,1,1,,,0,,,2.21,3,3,3,3
File,"AbstractSampler.java",1,1,1,1,6,0,3,3,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,35,4,11,8,2,20,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,1.82,1,1,1,1
File,"AbstractSamplerCreator.java",1,1,1,1,7,0,3,3,,,,1,3,7,9,,9,6,2,9,,0,0,6,3,,145,21,66,36,27,69,,,,29,42,28,14,,,,,,2,2,2,1,,,1,,,1.05,10,10,10,9
File,"AbstractSamplerGui.java",1,1,1,1,13,0,3,10,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,65,7,17,12,3,41,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,2.41,2,2,2,2
File,"AbstractScopedAssertion.java",1,1,1,1,3,0,3,0,,,,1,0,2,1,,1,1,0,1,,0,0,1,0,,50,6,9,6,3,35,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,3.89,1,1,1,1
File,"AbstractScopedJMeterGuiComponent.java",2,2,2,1,11,0,6,5,,,,1,0,1,8,,8,8,1,8,,0,0,6,2,,139,16,62,21,31,61,,,,27,45,18,27,,,,,,5,5,5,1,,,1,,,0.98,17,17,17,8
File,"AbstractScopedTestElement.java",1,1,1,1,7,0,3,3,,,,1,0,7,13,,13,13,0,13,,0,0,3,10,,159,21,63,27,28,81,,,,29,47,28,19,,,,,,4,4,6,1,,,2,,,1.29,16,16,18,13
File,"AbstractTCPClient.java",1,1,1,1,6,0,3,3,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,79,9,32,16,9,38,,,,10,18,11,7,,,,,,2,2,3,1,,,1,,,1.19,7,7,8,6
File,"AbstractTable.java",1,1,1,1,3,0,3,0,,,,1,0,15,20,,21,21,0,21,,0,0,0,21,,151,30,95,50,40,27,,,,42,64,42,22,,,,,,2,2,2,1,,,1,,,0.28,21,21,21,20
File,"AbstractTestElement.java",1,1,1,1,8,0,5,2,,,,1,0,2,54,,54,54,5,54,,0,0,10,44,,630,68,386,158,169,178,,,,145,238,114,124,,,,,,4,4,6,3,,,2,,,0.46,97,97,100,56
File,"AbstractTestElementBeanInfo.java",1,1,1,1,5,0,3,2,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,104,10,41,24,8,53,,,,15,24,16,8,,,,,,1,1,1,1,,,0,,,1.29,8,8,8,8
File,"AbstractThreadGroup.java",1,1,1,1,7,0,3,3,,,,1,0,10,20,,27,27,2,27,,2,0,0,25,,260,43,115,68,39,106,,,,61,83,58,25,,,,,,2,2,2,1,,,1,,,0.92,21,21,21,20
File,"AbstractThreadGroupGui.java",1,1,1,1,9,0,8,0,,,,1,0,1,12,,12,12,5,12,,0,5,1,6,,184,32,133,47,73,26,,,,76,97,41,56,,,,,,5,5,5,5,,,1,,,0.20,20,20,20,16
File,"AbstractTimerGui.java",1,1,1,1,13,0,3,10,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,66,7,17,12,3,42,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,2.47,2,2,2,2
File,"AbstractTransformer.java",1,1,1,1,3,0,3,0,,,,1,0,0,4,,4,4,2,4,,0,0,1,3,,51,9,20,11,4,22,,,,8,13,9,4,,,,,,1,1,1,1,,,0,,,1.10,4,4,4,4
File,"AbstractTreeTableModel.java",1,1,1,1,6,0,3,2,,,,1,0,1,21,,21,21,7,21,,0,0,0,21,,220,36,111,58,35,73,,,,44,68,40,28,,,,,,2,2,2,1,,,1,,,0.66,23,23,23,21
File,"AbstractVisualizer.java",1,1,1,1,12,0,7,5,,,,4,0,3,18,,18,18,5,18,,0,0,6,12,,359,30,151,63,74,185,,,,84,108,56,52,,,,,,2,2,2,1,,,1,,,1.23,23,23,23,18
File,"AccessLogSampler.java",2,2,2,1,11,0,7,4,,,,1,0,3,21,,21,21,7,21,,0,0,1,20,,357,33,184,54,93,145,,,,79,123,47,76,,,,,,8,8,9,4,,,5,,,0.79,45,45,51,24
File,"AccessLogSamplerBeanInfo.java",3,3,3,1,57,9,48,13,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,99,15,63,19,44,34,,,,50,54,18,36,,,,,,3,3,3,1,,,2,,,0.54,3,3,3,1
File,"AccumListener.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,24,3,4,3,0,17,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,4.25,0,0,0,0
File,"ActionNames.java",1,1,1,1,3,1,2,0,,,,1,0,65,1,,1,1,0,1,,0,1,0,0,,100,5,70,68,65,90,,,,66,68,68,0,,,,,,1,1,1,1,,,0,,,1.29,1,1,1,1
File,"ActionRouter.java",3,3,3,1,15,0,11,3,,,,2,1,3,16,,16,15,3,16,,0,3,2,11,,307,26,208,60,119,79,,,,90,148,65,83,,,,,,9,9,9,3,,,5,,,0.38,52,52,54,20
File,"AddParent.java",1,1,1,1,6,0,6,0,,,,1,0,2,5,,5,5,0,5,,0,1,1,3,,83,12,51,30,23,20,,,,32,40,28,12,,,,,,2,2,2,1,,,1,,,0.39,7,7,7,5
File,"AddToTree.java",2,2,2,1,13,0,10,3,,,,1,0,2,3,,3,3,1,3,,0,0,0,3,,92,11,56,30,24,27,,,,34,41,27,14,,,,,,5,5,5,1,,,2,,,0.48,7,7,7,3
File,"AfterAnnotatedTest.java",1,1,1,1,3,0,2,0,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,39,5,13,9,1,21,,,,5,8,7,1,,,,,,1,1,1,1,,,0,,,1.62,2,2,2,2
File,"AjpSampler.java",3,3,3,1,16,0,16,1,,,,1,0,7,24,,24,24,13,24,,0,20,1,3,,535,39,464,161,322,69,,,,277,354,140,214,,,,,,11,11,12,3,,,4,,,0.15,77,77,81,26
File,"AjpSamplerGui.java",1,1,1,1,3,0,3,0,,,,1,0,1,4,,4,4,0,4,,0,0,0,4,,51,9,25,15,7,20,,,,12,17,12,5,,,,,,1,1,1,1,,,0,,,0.80,4,4,4,4
File,"AllTests.java",3,3,3,1,33,1,18,13,,,,1,7,1,8,,8,1,0,8,,0,4,2,2,,382,21,176,56,123,187,,,,123,146,57,89,,,,,,6,6,6,1,,,4,,,1.06,25,25,25,8
File,"Analyze.java",1,1,1,1,5,0,5,0,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,59,9,33,19,10,18,,,,16,22,16,6,,,,,,3,3,3,1,,,2,,,0.55,5,5,5,3
