Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
Public Class,18,18,23,9,85,4,73,10,1,2,0,7,1,0,0,7,7,0,2,0,5,608,39,516,119,420,76,294,427,128,299,88,88,122,33,1,11,71,0.15,131,131,167,66,HIGH
Public Class,1,1,1,1,8,0,7,0,2,63,0,6,6,68,59,74,74,2,7,0,65,1546,209,1151,357,656,196,593,859,354,505,12,12,12,4,1,3,97,0.17,130,130,136,83,HIGH
Public Class,2,2,3,1,13,0,9,3,1,6,0,0,0,9,4,9,59,0,0,3,6,154,12,101,38,61,43,59,85,38,47,7,7,11,1,3,4,66,0.43,21,21,28,9,HIGH
Class,7,7,9,4,45,2,40,4,2,2,0,0,0,2,0,2,2,0,1,0,1,98,6,83,9,54,12,25,41,7,34,8,8,11,7,1,2,0,0.14,15,15,18,8,HIGH
Public Class,3,3,3,1,17,0,11,5,2,42,0,6,5,88,12,94,94,19,36,0,39,1939,221,1161,288,783,609,660,997,319,678,14,14,18,11,1,6,92,0.52,301,299,324,170,HIGH
Public Class,3,3,4,1,41,19,22,0,1,6,0,17,1,0,0,17,17,0,1,0,16,727,346,380,97,299,4,196,259,84,175,12,12,13,9,1,5,94,0.01,65,65,68,25,HIGH
Class,4,2,4,1,30,5,24,2,1,4,0,1,0,6,2,7,7,7,0,0,0,242,45,173,22,123,31,64,84,21,63,7,5,9,4,1,2,28,0.18,29,20,31,10,HIGH
Public Class,1,1,1,1,10,0,4,5,1,8,0,0,0,13,4,13,13,2,3,0,8,167,17,68,28,34,82,35,55,30,25,4,4,4,4,1,3,67,1.21,19,19,19,16,HIGH
Public Class,2,2,2,1,11,1,9,1,1,3,0,0,0,11,0,11,34,0,9,0,2,181,21,102,23,63,58,53,78,27,51,4,4,4,1,2,2,0,0.57,25,25,25,11,HIGH
Class,3,2,3,1,16,0,14,2,1,14,0,7,10,26,9,33,104,8,6,1,18,627,37,504,131,356,86,289,384,118,266,18,14,21,7,2,5,90,0.17,110,94,120,47,HIGH
Public Class,4,4,4,1,23,4,15,3,1,8,0,1,3,7,2,8,8,0,2,0,6,225,59,134,30,95,32,63,96,29,67,13,13,15,1,1,3,55,0.24,32,32,34,8,HIGH
Public Class,3,2,3,1,18,0,13,4,1,37,1,0,0,22,9,22,199,1,1,8,12,724,42,554,148,379,129,294,416,141,275,14,7,15,9,3,3,90,0.23,71,62,79,38,HIGH
Public Class,5,5,6,4,24,0,21,2,1,5,0,2,1,5,2,7,35,0,2,0,5,209,11,153,17,121,46,85,122,18,104,26,26,37,24,2,7,85,0.3,36,36,48,34,HIGH
Public Class,3,3,3,1,22,0,20,1,1,12,0,0,0,6,10,6,13,0,1,0,5,148,8,129,26,77,11,52,74,24,50,7,7,8,1,2,2,33,0.09,21,21,22,6,HIGH
Public Class,2,2,2,1,9,0,7,1,2,10,0,0,0,8,0,8,19,0,0,2,6,97,11,67,18,38,19,26,43,13,30,6,6,7,5,3,3,0,0.28,16,16,17,12,HIGH
Public Generic Class,2,2,2,2,17,0,16,1,1,1,0,0,0,4,8,4,27,0,0,0,4,94,4,75,29,33,15,35,44,15,29,5,5,5,5,3,2,43,0.2,8,8,8,8,HIGH
Public Class,14,14,15,3,54,7,45,2,1,13,0,2,2,0,0,2,2,1,0,0,1,203,34,156,37,122,13,83,138,43,95,28,28,30,5,1,6,50,0.08,29,29,31,6,HIGH
Public Class,1,1,1,1,6,0,6,0,2,19,0,0,6,32,5,32,32,1,1,0,30,288,38,240,108,158,10,143,182,90,92,3,3,3,1,1,2,88,0.04,38,38,38,32,HIGH
Public Class,1,1,1,1,25,0,25,0,1,1,0,1,2,0,0,1,1,0,0,0,1,31,2,29,5,26,0,25,27,4,23,1,1,1,1,1,0,50,0,1,1,1,1,HIGH
Public Class,1,1,1,1,10,0,8,1,1,15,0,1,0,33,11,34,34,0,8,0,26,418,74,300,63,149,44,128,190,68,122,5,5,6,4,1,4,84,0.15,59,59,60,43,HIGH
Public Class,2,2,2,1,12,0,10,1,1,15,0,0,0,27,4,27,61,0,1,0,26,387,59,296,75,180,33,159,221,85,136,9,9,9,4,2,2,63,0.11,56,56,56,30,HIGH
Public Class,5,5,5,1,34,5,28,0,1,3,0,0,0,3,1,3,26,1,0,0,2,113,19,88,15,64,6,48,66,18,48,11,11,11,3,2,3,33,0.07,17,17,17,5,HIGH
Public Abstract Class,1,1,1,1,7,0,4,2,2,3,2,0,14,22,1,22,76,0,0,0,22,214,25,117,42,67,72,53,87,41,46,10,10,10,10,2,1,93,0.62,33,33,33,30,HIGH
Public Class,1,1,2,1,20,0,15,5,2,14,1,1,0,21,4,22,28,0,1,8,13,479,27,345,103,253,139,143,188,87,101,14,14,16,3,3,3,76,0.4,42,42,45,24,HIGH
Private Class,9,9,10,1,32,2,29,1,3,3,0,0,0,1,0,1,1,0,0,0,1,34,2,31,7,20,1,15,25,9,16,9,9,10,1,1,4,0,0.03,9,9,10,1,HIGH
Public Class,4,4,5,1,43,4,25,13,1,17,2,0,0,10,1,10,10,0,5,0,5,461,61,262,56,198,146,159,206,51,155,10,10,13,1,1,3,70,0.56,47,47,52,10,HIGH
Public Class,5,5,6,2,35,2,27,6,2,37,0,0,2,32,4,32,32,0,13,1,18,1237,126,887,257,690,243,525,695,243,452,15,15,20,7,1,7,76,0.27,176,176,198,75,HIGH
Public Class,1,1,1,1,8,0,7,1,1,7,0,0,0,5,1,5,12,0,0,0,5,53,6,39,7,17,8,16,24,7,17,2,2,2,1,2,1,40,0.21,7,7,7,5,HIGH
Public Class,2,2,2,1,16,0,11,3,2,3,0,0,1,18,7,18,18,0,1,1,16,411,37,243,93,152,131,129,173,77,96,6,5,6,3,1,2,78,0.54,44,41,45,20,HIGH
Public Class,2,2,2,1,41,9,32,0,1,8,0,0,0,2,0,2,25,0,0,0,2,105,22,65,8,58,18,54,59,8,51,3,3,3,1,3,1,0,0.28,4,4,4,2,HIGH
