system_id,package,class,fullClassName,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
freecol,net.sf.freecol.client.gui.panel,ColonyPanel.OutsideColonyPanel,net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel,20,2,2,2,1,9,0,7,1,2,10,0,0,0,8,0,8,19,0,0,2,6,97,11,67,18,38,19,26,43,13,30,6,6,7,5,3,3,0,0.28,16,16,17,12,1
freecol,net.sf.freecol.client.gui.i18n,CLDRTest,net.sf.freecol.client.gui.i18n.CLDRTest,20,2,2,2,1,41,9,32,0,1,8,0,0,0,2,0,2,25,0,0,0,2,105,22,65,8,58,18,54,59,8,51,3,3,3,1,3,1,0,0.28,4,4,4,2,0
freecol,net.sf.freecol.client.gui.panel,PreCombatDialog,net.sf.freecol.client.gui.panel.PreCombatDialog,20,5,5,6,1,44,4,40,0,1,15,0,0,0,3,0,3,59,0,1,0,2,158,16,122,36,97,20,72,89,31,58,8,8,9,1,4,3,0,0.16,17,17,18,3,0
freecol,net.sf.freecol.server.ai.mission,PioneeringMission,net.sf.freecol.server.ai.mission.PioneeringMission,20,3,3,3,2,18,0,11,6,1,28,0,16,3,17,2,33,173,0,11,3,19,714,66,385,97,270,266,166,258,90,168,29,26,33,18,4,3,90,0.69,113,110,127,66,0
freecol,net.sf.freecol.server.ai,ColonyPlan,net.sf.freecol.server.ai.ColonyPlan,20,8,8,9,3,45,1,32,12,1,40,0,2,18,30,15,32,32,0,15,0,17,1670,116,1115,268,835,465,568,887,291,596,61,61,67,30,1,8,91,0.42,272,266,303,101,0
freecol,net.sf.freecol.common.model,ScopeTest,net.sf.freecol.common.model.ScopeTest,20,1,1,1,1,23,6,16,0,1,11,0,0,0,8,2,8,31,0,0,0,8,218,61,137,26,119,20,117,126,26,100,1,1,1,1,3,0,37,0.15,8,8,8,8,0
freecol,net.sf.freecol.server.ai.mission,IndianDemandMission,net.sf.freecol.server.ai.mission.IndianDemandMission,20,4,3,4,2,21,0,15,5,1,24,0,6,2,13,3,19,159,0,5,3,11,481,45,306,85,218,136,141,210,78,132,23,23,27,19,4,4,82,0.44,77,70,86,55,0
freecol,net.sf.freecol.common.networking,LearnSkillMessage,net.sf.freecol.common.networking.LearnSkillMessage,20,1,1,1,1,17,1,8,7,1,13,0,1,0,4,2,5,30,0,0,0,5,123,11,48,14,27,64,20,30,13,17,5,5,5,5,2,1,19,1.33,9,9,9,9,0
freecol,net.sf.freecol.client.gui.menu,InGameMenuBar,net.sf.freecol.client.gui.menu.InGameMenuBar,20,1,1,1,1,30,5,20,5,1,74,0,0,1,7,0,7,17,0,4,0,3,258,49,146,22,122,63,110,125,21,104,3,3,3,1,3,2,100,0.43,12,12,13,7,3
freecol,net.sf.freecol.client.gui.panel,MapControls,net.sf.freecol.client.gui.panel.MapControls,18,2,2,2,1,12,1,9,2,1,21,2,0,4,11,7,11,11,0,0,0,11,160,25,83,28,49,52,48,65,29,36,5,4,6,1,1,3,81,0.63,15,14,19,7,1
freecol,net.sf.freecol.common.networking,AskSkillMessage,net.sf.freecol.common.networking.AskSkillMessage,20,1,1,1,1,16,0,8,7,1,13,0,1,0,4,2,5,30,0,0,0,5,120,10,48,14,27,62,20,30,13,17,5,5,5,5,2,1,19,1.29,9,9,9,9,0
